"degree","p_value","active","significant"
0,0.206975435376956,1,0.490196078431373
0.0111111111111111,0.229645228394768,1,0.502352941176471
0.0222222222222222,0.284332586983845,0.999607843137255,0.505098039215686
0.0333333333333333,0.251900694495759,1,0.506666666666667
0.0444444444444444,0.261722329581948,1,0.507058823529412
0.0555555555555556,0.265642710693627,1,0.505882352941176
0.0666666666666667,0.267085396811106,1,0.506274509803922
0.0777777777777778,0.27177507807288,0.999607843137255,0.507058823529412
0.0888888888888889,0.254881213897791,1,0.509411764705882
0.1,0.279890154747307,0.99921568627451,0.507843137254902
