"degree","p_value","active","significant"
0,0,0.542199488491049,0.219948849104859
0.0111111111111111,2.13765349125797e-06,0.539514066496164,0.221611253196931
0.0222222222222222,0.00523502306380067,0.583120204603581,0.234271099744246
0.0333333333333333,0.00187140610772736,0.582608695652174,0.23618925831202
0.0444444444444444,0.00237412005418823,0.523529411764706,0.214961636828644
0.0555555555555556,0.00651213849550533,0.608695652173913,0.244245524296675
0.0666666666666667,0.00630979156546381,0.530818414322251,0.218286445012788
0.0777777777777778,0.0253770597460418,0.564961636828645,0.231841432225064
0.0888888888888889,0.0194727342528727,0.533375959079284,0.206521739130435
0.1,0.0163370605641703,0.517902813299233,0.209590792838875
