"degree","p_value","active","significant"
0,0.0167075826751795,1,0.568627450980392
0.0111111111111111,0.0198609547220112,1,0.432549019607843
0.0222222222222222,0.0266167672954068,1,0.426666666666667
0.0333333333333333,0.0182509785231466,1,0.428627450980392
0.0444444444444444,0.0387084044820072,1,0.431764705882353
0.0555555555555556,0.0235739054639068,1,0.427058823529412
0.0666666666666667,0.0429419340157181,0.99921568627451,0.419607843137255
0.0777777777777778,0.0265889268235819,1,0.421960784313725
0.0888888888888889,0.0472722228087328,0.999607843137255,0.425098039215686
0.1,0.0602178615199592,1,0.414901960784314
