"index","alpha","group"
1,0.624204925816787,"Other"
2,0.220062421719344,"Other"
3,0.0330238784816442,"Other"
4,0.161168592288116,"Other"
5,0.40934824705847,"Other"
6,0.00174330522147333,"Other"
7,1.55361068723208,"Other"
8,0.203956661557759,"Other"
9,0.740868520402776,"Other"
10,1.52553192378293,"Other"
11,0.0399684220740936,"Other"
12,0.796467338018462,"Other"
13,1.46148080365138,"Other"
14,-0.000508544173133613,"Other"
15,0.39260237643025,"Other"
16,0.14999218097206,"Other"
17,0.386188738000647,"Other"
18,0.783303646250376,"Other"
19,0.571789940843908,"Other"
20,0.220062421719341,"Other"
21,0.0786528640443733,"Other"
22,0.106043285334832,"Other"
23,0.182798550502482,"Other"
24,-0.037728568331339,"Other"
25,2.09759736235318,"Other"
26,0.392602376430249,"Other"
27,0.469194398021293,"Other"
28,0.175662808771317,"Other"
29,0.469194398021293,"Other"
30,0.113340374361464,"Other"
31,0.118295318555301,"Other"
32,0.885070049735462,"Other"
33,1.23668604404994,"Other"
34,0.161423968986341,"Other"
35,0.109255614208869,"Other"
36,0.713729316508409,"Other"
37,0.0097376020078821,"Other"
38,1.6391955804015,"Other"
39,0.0724439325484856,"Other"
40,0.50964210765966,"Other"
41,0.566099569616885,"Other"
42,0.800531337557517,"Other"
43,-0.0166118230185876,"Other"
44,0.0724798458561269,"Other"
45,-0.254772570135076,"Other"
46,0.368262032290664,"Other"
47,0.306092555812414,"Other"
48,0.447818780688689,"Other"
49,1.0434154881288,"Other"
50,-0.0230792281025386,"Other"
51,1.49457403798767,"Other"
52,2.0789603039467,"Other"
53,0.364758484156072,"Other"
54,0.498457787657947,"Other"
55,1.38911069684955,"Other"
56,0.212296120875785,"Other"
57,0.653084083444898,"Other"
58,0.235144704237484,"Other"
59,0.118433185977598,"Other"
60,1.00488334007559,"Other"
61,0.0715010843447376,"Other"
62,0.980470531343793,"Other"
63,4.11554124502312,"Other"
64,1.0187093643865,"Other"
65,0.0762483869057634,"Other"
66,0.77576539614437,"Other"
67,0.357422459811715,"Other"
68,0.947772678119089,"Other"
69,0.203956661557759,"Other"
70,2.21867348684039,"Other"
71,0.0433722515153047,"Other"
72,0.800531337557518,"Other"
73,0.471324229286736,"Other"
74,0.534781791694766,"Other"
75,0.929285032864911,"Other"
76,0.909354968768868,"Other"
77,0.341406040773291,"Other"
78,0.156002781532041,"Other"
79,-0.0285793795807478,"Other"
80,0.0786528640443733,"Other"
81,1.08164712776861,"Other"
82,0.30609255581241,"Other"
83,0.254406704987441,"Other"
84,0.306092555812412,"Other"
85,1.08164712776861,"Other"
86,0.919796767614328,"Other"
87,-0.347469691294417,"Other"
88,0.298073617185597,"Other"
89,0.390968575206005,"Other"
90,0.368262032290668,"Other"
91,0.368262032290666,"Other"
92,0.311529058451575,"Other"
93,0.311529058451573,"Other"
94,1.65802365176614,"Other"
95,1.7965153607563,"Other"
96,0.775765396144366,"Other"
97,0.143845360147544,"Other"
98,0.13882835860691,"Other"
99,0.783303646250378,"Other"
100,0.306092555812412,"Other"
101,0.449449726074848,"Other"
102,-0.16681645902921,"Other"
103,3.83037082158527,"Other"
104,0.1182953185553,"Other"
105,0.169600129889976,"Other"
106,0.440580211989657,"Other"
107,2.88474900480685,"Other"
108,0.140371423157506,"Other"
109,0.783303646250378,"Other"
110,0.109255614208869,"Other"
111,3.70065108874808,"Other"
112,0.928474468370792,"Other"
113,0.398177886185625,"Other"
114,0.800531337557521,"Other"
115,0.014765618653898,"Other"
116,0.800531337557521,"Other"
117,0.0301256594710897,"Other"
118,0.130358535922692,"Other"
119,0.0935294297305383,"Other"
120,0.0980436191223499,"Other"
121,1.09962582072938,"Other"
122,0.469194398021294,"Other"
123,2.56207456832476,"Other"
124,1.1270170169333,"Other"
125,0.0351609393845015,"Other"
126,1.26488186634898,"Other"
127,0.855387356433709,"Other"
128,0.515579120705063,"Other"
129,0.0077908472538383,"Other"
130,1.53409761777433,"Other"
131,0.00798765256274958,"Other"
132,1.50049791339529,"Other"
133,0.845591304068038,"Other"
134,1.53011952328476,"Other"
135,-0.0230792281025394,"Other"
136,2.54497312576092,"Other"
137,0.33152010112539,"Other"
138,1.30635931540126,"Other"
139,0.890624058073682,"Other"
140,0.566359248682365,"Other"
141,0.872279718197081,"Other"
142,0.341406040773289,"Other"
143,0.876934919677306,"Other"
144,-0.000508544173133775,"Other"
145,0.0472687728896202,"Other"
146,0.033023878481647,"Other"
147,0.286927185956188,"Other"
148,0.134485852300906,"Other"
149,0.109299218803168,"Other"
150,-0.00414882971634059,"Other"
151,1.11348406831717,"Other"
152,0.00779084725383685,"Other"
153,0.196010695096474,"Other"
154,0.810419130340211,"Other"
155,0.113538261452877,"Other"
156,1.63957493108951,"Other"
157,1.22088459301325,"Other"
158,0.325862665179864,"Other"
159,0.58581931472055,"Other"
160,0.44781878068869,"Other"
161,0.71372931650841,"Other"
162,0.0147656186538984,"Other"
163,2.24384296648668,"Other"
164,0.384789610722709,"Other"
165,4.69758151780199,"Other"
166,0.538621079419714,"Other"
167,0.134485852300905,"Other"
168,1.16995925022152,"Other"
169,0.072479845856128,"Other"
170,5.34310743447141,"Other"
171,0.254406704987439,"Other"
172,1.23396517948323,"Other"
173,2.62769873004001,"Other"
174,0.068753715960569,"Other"
175,0.56549079499848,"Other"
176,0.00647543558568664,"Other"
177,0.0568650838568943,"Other"
178,1.46148080365138,"Other"
179,0.0249650515676927,"Other"
180,0.783303646250376,"Other"
181,0.137342240950041,"Other"
182,0.161168592288116,"Other"
183,0.130358535922691,"Other"
184,0.0756468583090304,"Other"
185,0.000914773169878121,"Other"
186,1.65802365176614,"Other"
187,0.143845360147543,"Other"
188,0.208625949346866,"Other"
189,1.12972028132857,"Other"
190,0.0366914105434445,"Other"
191,0.0786528640443723,"Other"
192,1.70813168120088,"Other"
193,0.571665007529387,"Other"
194,0.222845215578314,"Other"
195,0.298073617185598,"Other"
196,0.298073617185597,"Other"
197,-0.17044679784053,"Other"
198,0.972675782881651,"Other"
199,0.0301256594710886,"Other"
200,0.899907489866851,"Other"
201,1.72845326072154,"Other"
202,0.0896393139150879,"Other"
203,0.535649994745228,"Other"
204,0.196010695096476,"Other"
205,0.98573585875659,"Other"
206,0.854697054036761,"Other"
207,0.408526160881546,"Other"
208,0.311529058451574,"Other"
209,0.24278568544285,"Other"
210,0.777157313206655,"Other"
211,0.778373987228542,"Other"
212,0.447083464336024,"Other"
213,0.655052894284682,"Other"
214,0.654380129516449,"Other"
215,1.79150887634166,"Other"
216,0.0631998633390934,"Other"
217,0.566099569616881,"Other"
218,3.24553036406363,"Other"
219,-0.0166118230185866,"Other"
220,0.0541619528144049,"Other"
221,2.46654154266563,"Other"
222,0.0786528640443725,"Other"
223,0.888792901219715,"Other"
224,4.52916967388873,"Other"
225,2.48259065058067,"Other"
226,0.135264783451237,"Other"
227,0.000914773169877949,"Other"
228,1.54275153156717,"Other"
229,0.428451119918024,"Other"
230,1.65802365176614,"Other"
231,0.000626056385852721,"Other"
232,0.565490794998481,"Other"
233,0.221181196570929,"Other"
234,0.570033234515434,"Other"
235,0.161423968986341,"Other"
236,0.016202792272449,"Other"
237,1.1406990150016,"Other"
238,0.563452237462958,"Other"
239,0.765220819636976,"Other"
240,0.802268262485269,"Other"
241,0.118295318555302,"Other"
242,0.571665007529385,"Other"
243,0.563452237462959,"Other"
244,0.0980436191223479,"Other"
245,1.0048833400756,"Other"
246,-0.0635722451941744,"Other"
247,0.432721950695601,"Other"
248,0.0649789178710767,"Other"
249,0.571855736377651,"Other"
250,0.654380129516448,"Other"
251,0.00849114815358371,"Other"
252,0.0472687728896206,"Other"
253,0.200066523532935,"Other"
254,0.335838880316474,"Other"
255,0.653084083444896,"Other"
256,0.213615730081648,"Other"
257,0.222845215578315,"Other"
258,0.876244094146978,"Other"
259,0.825170831700347,"Other"
260,-0.0223967608133168,"Other"
261,1.04926768628057,"Other"
262,0.919796767614322,"Other"
263,0.392602376430249,"Other"
264,4.764018754409,"Other"
265,2.04677719125751,"Other"
266,1.46148080365138,"Other"
