degree,BAR-SP,SP,SIM
0,0.019359746,0.016707583,0.206975435
0.011111111,0.001289766,0.019860955,0.229645228
0.022222222,0.002870988,0.026616767,0.284332587
0.033333333,0.001650224,0.018250979,0.251900694
0.044444444,0.005671956,0.038708404,0.26172233
0.055555556,0.002228847,0.023573905,0.265642711
0.066666667,0.009422577,0.042941934,0.267085397
0.077777778,0.003478779,0.026588927,0.271775078
0.088888889,0.009558333,0.047272223,0.254881214
0.1,0.011825754,0.060217862,0.279890155
