"","x"
"1",""
"2","ARH0"
"3","Capital"
"4","ConnectSea"
"5","Distde71"
"6","EREH0"
"7","HRSTcore"
"8","PatentBIO"
"9","PatentShBIO"
"10","PatentShHT"
"11","RegBoarder"
"12","RegObj1"
"13","RegPent27"
"14","RoadDens"
"15","Settl"
"16","ShAB0"
"17","ShSH"
"18","Temp"
"19","URH0"
"20","URL0"
"21","URT0"
