"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","feature_name"
-10,0.0167075826751795,-10,-10,0.0167075826751795,-10,-10,-10,-10,0.0034533259578184,0.0170614215166947,-10,"NetEff"
0.299935766180241,0.00791014581333072,2,0.242907128749633,0.0253370154893748,2,0.380888022344674,0,2,0.369911126180296,4.48282522214072e-11,2,"AccessAir"
0.186353887913367,0.00856741639540193,4,0.212489803405948,0.00328263058587097,4,0.161247552027314,0,4,0.170022300361266,9.16756857257672e-05,4,"AirportDens"
0.473343246540293,2.58505893357963e-08,9,0.453994094483785,8.8135502229747e-08,9,0.519645811125456,0,9,0.529742815306802,3.67567024803783e-05,9,"Capital"
0.554125152242163,0.0781696237356722,14,1.51064567959225,5.56951625223512e-05,14,0.93362774194554,2.50259701850553e-10,14,0.975947973456444,0,14,"EMPDENS0"
-0.160817713551861,0.442934157052595,15,-2.39640638410905,0.0162235885235812,15,1.1836557798472,0.13130737588548,15,1.03610505940435,0,15,"EREH0"
-0.431517675525991,0.030016704104848,18,-0.59360231098895,0.00484203280115325,18,-0.948299201732191,0,18,-0.927583560058469,0,18,"GDPCAP0"
-0.0934906467928705,0.112289529919176,20,-0.176851516222675,0.0108008883253694,20,-0.0816815522119612,0,20,-0.0848811282425668,0.224946410171792,20,"Hazard"
0.226071236854384,0.169528645532694,22,0.760323198571865,0.000651494932294439,22,0.58817808222242,0,22,0.608980033917829,0,22,"INTF"
-0.749921338175556,0.00291017782947944,31,-1.14125257881942,1.3535555812072e-05,31,-1.01534687905132,0,31,-1.03760932417049,0,31,"POPDENS0"
0.128805642767334,0.0841690401470735,42,0.236873704044462,0.00564905349919664,42,0.226542022764058,0,42,0.22686401390751,0.00133743378570139,42,"shGFCF"
-0.152495681443376,0.0367466947819814,48,-0.247014583183214,0.00187136436747637,48,-0.0183959914484296,0.00342913057146399,48,-0.031086349488485,0.368676165045694,48,"Temp"
-8.80303289705911e-10,-10,40,0.148233336443805,0.116651685062163,40,0.137150114245047,0,40,0.140215262605627,0.1130069367672,40,"ShAB0"
1.35462748942101e-09,-10,7,2.77974806387384,0.000161374238628387,7,1.37143134691068,0.00975754454232225,7,1.47744721605801,0,7,"ARL0"
-1.65292045422386e-09,-10,16,-2.96373639222639,0.000697038125469285,16,-1.67500085053382,0.0228181947439444,16,-1.77433114336138,0,16,"EREL0"
