"","x"
"1",""
"2","AccessAir"
"3","AccessRoad"
"4","ARL0"
"5","ART0"
"6","EMPDENS0"
"7","ERET0"
"8","INTF"
"9","PatentHT"
"10","PatentICT"
"11","PatentShBIO"
"12","PatentShHT"
"13","PatentShICT"
"14","RailDens"
"15","RegPent27"
"16","RoadDens"
"17","shGFCF"
"18","ShSH"
"19","URH0"
"20","URL0"
"21","URT0"
