"","x"
"1",""
"2","AccessAir"
"3","AccessRoad"
"4","ARL0"
"5","ART0"
"6","EMPDENS0"
"7","ERET0"
"8","GDPCAP0"
"9","INTF"
"10","OUTDENS0"
"11","PatentBIO"
"12","PatentHT"
"13","PatentICT"
"14","PatentShBIO"
"15","PatentShHT"
"16","PatentShICT"
"17","PatentT"
"18","POPDENS0"
"19","RailDens"
"20","RegPent27"
"21","RoadDens"
"22","shGFCF"
"23","ShSH"
"24","TELF"
"25","TELH"
"26","URH0"
"27","URL0"
"28","URT0"
