"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","feature_name"
-10,0.0170083263644615,-10,-10,0.00840889762980723,-10,-10,-10,-10,0.00346022020774414,0.206975435376963,-10,"NetEff"
0.303715720815627,0.000434988386493917,2,0.236472915767283,0.0273362322151856,2,0.380888022344674,0,2,0.369889211809482,0.000864219878923267,2,"AccessAir"
0.180175375329728,0.00798024657642449,4,0.206833640639276,0.00389723765283279,4,0.161247552027314,0,4,0.170039818345023,0.0122511291322588,4,"AirportDens"
0.475999679883347,1.0998418842334e-08,9,0.457500603826389,4.84133532152597e-08,9,0.519645811125456,0,9,0.529762973053622,1.5568215616657e-07,9,"Capital"
0.5569912261143,0.00803701939865142,14,1.49132430293583,6.41385081088242e-05,14,0.93362774194554,0,14,0.976032461933983,0.000543922719270395,14,"EMPDENS0"
-0.155702891981476,0.000758126434302175,15,-2.39122180786013,0.0160557498782022,15,1.1836557798472,0.00130772933114887,15,1.035810487865,0.0519839923325446,15,"EREH0"
-0.444070280604378,9.13308682242153e-05,18,-0.594632076570477,0.00456062938948365,18,-0.948299201732191,0,18,-0.927542203171587,2.81243076405424e-06,18,"GDPCAP0"
-0.0950609328057062,0.132306730586655,20,-0.177774321081041,0.0100588690392092,20,-0.0816815522119612,0,20,-0.0848875159039314,0.102959850628484,20,"Hazard"
0.223799606257135,0.0330564587491168,22,0.743140430157138,0.000759011322234771,22,0.58817808222242,0,22,0.60902156311481,0.00578140323028842,22,"INTF"
-0.74775696441782,0.00358546925922165,31,-1.13169833440939,1.362163987495e-05,31,-1.01534687905132,0,31,-1.03765376910917,0.000630291509696512,31,"POPDENS0"
0.128053009683826,0.0229187483889673,42,0.225716111280768,0.00736045999817725,42,0.226542022764058,0,42,0.226864656733416,0.00406590861703193,42,"shGFCF"
-0.164560228030281,0.00479157558979482,48,-0.253643293875272,0.00132135868803174,48,-0.0183959914484296,0.00108145476471955,48,-0.0311116846294672,0.348834589111632,48,"Temp"
0,-10,1,0.0145369337450715,0.00354263294570323,1,2.22549019607843,0,1,1.98842576032403,5.93480820043624e-12,1,""
0,-10,3,-0.512258465119312,0.0151184936023082,3,-0.684253016692955,0,3,-0.673457563098991,0.00151476578125687,3,"AccessRoad"
0,-10,5,-0.0327615597613276,0.313786555380351,5,0.0537192845186913,0,5,0.0437345599698259,0.271903787270722,5,"Airports"
