"index","alpha","group"
1,-0.0488259049447868,"Other"
2,0.0926450085523901,"Other"
3,0.0299122387516206,"Other"
4,0.313827005230274,"Other"
5,0.181305048009954,"Other"
6,0.337627974447425,"Other"
7,0.265940752873005,"Other"
8,0.189531642236494,"Other"
9,0.08188247455897,"Other"
10,0.481555644522121,"Other"
11,0.290532681804914,"Other"
12,0.266439279868576,"Other"
13,0.361297753025707,"Other"
14,0.43457763777619,"Other"
15,0.342194012771138,"Other"
16,0.697209764526422,"Other"
17,0.366415522237342,"Other"
18,0.580201550774661,"Other"
19,0.544781295642912,"Other"
20,0.718487345062617,"Other"
21,-0.735164045529301,"Other"
22,-0.730774390620543,"Other"
23,-0.610715581977166,"Other"
24,-0.616292950278451,"Other"
25,-0.714373169037544,"Other"
26,-0.654618914083914,"Other"
27,-0.518380542304259,"Other"
28,-0.311677755743774,"Other"
29,0.0730807322780841,"Other"
30,-0.358923302469552,"Other"
31,-0.657998398842459,"Other"
32,0.193330188154614,"Other"
33,0.270351807260655,"Other"
34,0.246181215055963,"Other"
35,0.375486947530755,"Other"
36,0.0293824708086181,"Other"
37,0.107139961334008,"Other"
38,0.202825094614951,"Other"
39,0.191742607704139,"Other"
40,-0.270648707487462,"Other"
41,0.0317708098757969,"Other"
42,-0.0993691255492536,"Other"
43,-0.625273138847704,"Other"
44,-0.107943342711931,"Other"
45,-0.0413649617704865,"Other"
46,0.0588575578293723,"Other"
47,-0.70134731867135,"Other"
48,-0.716257256564443,"Other"
49,-0.679738907538668,"Other"
50,-0.481787234829866,"Other"
51,-0.999045426124774,"Top 10"
52,-0.146657594361165,"Other"
53,-0.338397094320373,"Other"
54,-0.581707266939109,"Other"
55,-0.81195198587321,"Top 10"
56,-0.863859556704178,"Top 10"
57,-0.794088880017017,"Top 10"
58,-0.941021209509214,"Top 10"
59,-0.000351669582655201,"Other"
60,-0.124406727042277,"Other"
61,-0.214533641202201,"Other"
62,0.141584649603008,"Other"
63,-0.610497757390108,"Other"
64,-0.258352002684156,"Other"
65,-0.0695766108660453,"Other"
66,0.300455631818484,"Other"
67,0.352595399505812,"Other"
68,0.251759741498134,"Other"
69,-0.746426065569226,"Other"
70,-0.541195907638879,"Other"
71,-0.761556201348349,"Top 10"
72,-0.814224653747059,"Top 10"
73,-0.936853517819889,"Top 10"
74,-0.557260506272799,"Other"
75,-0.257965900847852,"Other"
76,0.629663060673611,"Other"
77,0.318629555979693,"Other"
78,0.318629555979732,"Other"
79,0.376271265409566,"Other"
80,0.376271265409565,"Other"
81,0.328440335931882,"Other"
82,0.320406808866688,"Other"
83,0.405705122037423,"Other"
84,0.526972544603853,"Other"
85,0.526972544603846,"Other"
86,0.526972544603856,"Other"
87,0.526972544603851,"Other"
88,0.416666414189713,"Other"
89,0.490468671251801,"Other"
90,0.282064938186658,"Other"
91,0.526972544603873,"Other"
92,0.546951230549701,"Other"
93,0.629663060673618,"Other"
94,0.629663060673609,"Other"
95,0.684049133476057,"Other"
96,0.684049133476047,"Other"
97,0.684049133476066,"Other"
98,-0.229864602916429,"Other"
99,-0.0276095142172547,"Other"
100,-0.151023077545517,"Other"
101,-0.0296822875500967,"Other"
102,-0.243908803784894,"Other"
103,0.0359855630469184,"Other"
104,-0.0507502021053009,"Other"
105,0.357557924685717,"Other"
106,0.450234522664737,"Other"
107,0.266329332806067,"Other"
108,0.265244443253123,"Other"
109,0.440355568564056,"Other"
110,0.399938739701556,"Other"
111,0.482980120515033,"Other"
112,0.374699967883025,"Other"
113,0.425978549561641,"Other"
