"","x"
"1",""
"2","AccessAir"
"3","AccessRoad"
"4","Airports"
"5","ARH0"
"6","Capital"
"7","ConnectSea"
"8","EREH0"
"9","Hazard"
"10","HRSTcore"
"11","PatentBIO"
"12","PatentShBIO"
"13","PatentShHT"
"14","RailDens"
"15","RegBoarder"
"16","RegObj1"
"17","RegPent27"
"18","RoadDens"
"19","Settl"
"20","ShAB0"
"21","shGFCF"
"22","ShSH"
"23","Temp"
"24","URL0"
"25","URT0"
